segment,anomaly,predicted_anomaly,anomaly_score,anomaly_factors,mean,std,var,skew,kurtosis,diff_var,diff2_var,n_peaks
235,1,1,4,skew=HIGH (2.705066 > 2.405678); kurtosis=HIGH (6.167142 > 0.085746); diff_var=HIGH (0.014176 > 0.001651); diff2_var=HIGH (0.031904 > 0.000618),0.0514718814814814,0.1327053005075895,0.0176106967828096,2.705066235608958,6.167141894914868,0.0141764224068184,0.0319037527611136,1
1043,1,1,4,mean=HIGH (0.952466 > 0.913808); kurtosis=HIGH (0.835636 > 0.085746); diff_var=HIGH (0.035050 > 0.001651); diff2_var=HIGH (0.081065 > 0.000618),0.9524663076923076,0.193186736671019,0.0373211152255976,-1.0134174028900902,0.8356358588804493,0.035049922363743,0.0810645998258677,1
1068,1,1,4,mean=HIGH (0.977926 > 0.913808); kurtosis=HIGH (1.592395 > 0.085746); diff_var=HIGH (0.099879 > 0.001651); diff2_var=HIGH (0.303399 > 0.000618),0.9779263,0.2431144036823199,0.05910461327781,-1.42320577198881,1.5923949521833831,0.0998786908990617,0.3033985781066877,1
1087,1,1,4,kurtosis=HIGH (0.890494 > 0.085746); diff_var=HIGH (0.019529 > 0.001651); diff2_var=HIGH (0.062030 > 0.000618); n_peaks=HIGH (2.000000 > 1.000000),0.206582197755102,0.2450660823404258,0.0600573847136843,1.3900337558749554,0.8904942499655539,0.0195292927092198,0.0620299476401521,2
1134,1,1,4,skew=HIGH (2.808724 > 2.405678); kurtosis=HIGH (6.368605 > 0.085746); diff_var=HIGH (0.003378 > 0.001651); diff2_var=HIGH (0.007686 > 0.000618),0.0285457028571428,0.0527278922924982,0.0027802306256092,2.8087235736316587,6.36860453909374,0.0033779692030725,0.0076860028319158,1
1646,1,1,4,kurtosis=HIGH (0.197141 > 0.085746); diff_var=HIGH (0.009521 > 0.001651); diff2_var=HIGH (0.025610 > 0.000618); n_peaks=HIGH (3.000000 > 1.000000),0.1866468684722222,0.2400060450451865,0.0576029016582321,1.2742384118361552,0.1971409960131613,0.009520890442412,0.0256100828615575,3
1714,1,1,4,kurtosis=HIGH (2.061674 > 0.085746); diff_var=HIGH (0.012363 > 0.001651); diff2_var=HIGH (0.027727 > 0.000618); n_peaks=HIGH (3.000000 > 1.000000),0.1686966702702702,0.1532947159260577,0.0234992699308507,1.774506032761746,2.061673923482986,0.0123628284698218,0.0277270563253853,3
1715,1,1,4,kurtosis=HIGH (1.368695 > 0.085746); diff_var=HIGH (0.016662 > 0.001651); diff2_var=HIGH (0.032877 > 0.000618); n_peaks=HIGH (2.000000 > 1.000000),0.157277114375,0.2410962747783119,0.0581274137119793,1.6609365486027905,1.3686948839035835,0.0166621535371518,0.0328770626716558,2
1716,1,1,4,kurtosis=HIGH (1.549252 > 0.085746); diff_var=HIGH (0.014490 > 0.001651); diff2_var=HIGH (0.029192 > 0.000618); n_peaks=HIGH (2.000000 > 1.000000),0.1207438866666666,0.1921324578806837,0.0369148813712727,1.641553285695747,1.5492519597542476,0.0144896053121577,0.0291916330387548,2
1717,1,1,4,kurtosis=HIGH (3.278365 > 0.085746); diff_var=HIGH (0.005418 > 0.001651); diff2_var=HIGH (0.011540 > 0.000618); n_peaks=HIGH (2.000000 > 1.000000),0.0607941259523809,0.1092799510310948,0.0119421076973584,2.0940659176294707,3.278364754593902,0.0054183805089712,0.0115403540966287,2
1718,1,1,4,kurtosis=HIGH (1.328488 > 0.085746); diff_var=HIGH (0.040658 > 0.001651); diff2_var=HIGH (0.107649 > 0.000618); n_peaks=HIGH (3.000000 > 1.000000),0.12794355375,0.2067945972135688,0.0427640054367221,1.6056938361496074,1.3284876814436686,0.0406577678415155,0.1076491505162741,3
1724,1,1,4,kurtosis=HIGH (1.813094 > 0.085746); diff_var=HIGH (0.041306 > 0.001651); diff2_var=HIGH (0.107291 > 0.000618); n_peaks=HIGH (3.000000 > 1.000000),0.121847269,0.2261392407738183,0.0511389562177589,1.8116260026050175,1.813093811922629,0.0413059340519708,0.1072909199724022,3
225,0,1,3,var=HIGH (0.243526 > 0.221845); diff_var=HIGH (0.008985 > 0.001651); diff2_var=HIGH (0.001404 > 0.000618),0.4038187609302325,0.493484015989288,0.2435264740369158,0.8648557653835615,-0.7975440295037033,0.0089847843624495,0.0014042419514371,1
227,0,1,3,var=HIGH (0.239608 > 0.221845); diff_var=HIGH (0.006794 > 0.001651); diff2_var=HIGH (0.001336 > 0.000618),0.4639485127659574,0.4894972068670024,0.2396075155305969,0.7228087380918319,-0.9958764331165816,0.0067940922534357,0.0013362583340485,1
229,0,1,3,var=HIGH (0.243285 > 0.221845); diff_var=HIGH (0.006124 > 0.001651); diff2_var=HIGH (0.001705 > 0.000618),0.4503788086206897,0.4932391210446666,0.2432848305289152,1.0378760098671556,-0.3861002107119127,0.0061237699676741,0.0017049895602567,1
231,0,1,3,var=HIGH (0.230309 > 0.221845); diff_var=HIGH (0.006695 > 0.001651); diff2_var=HIGH (0.001198 > 0.000618),0.4659003309090909,0.4799047009462839,0.2303085219903421,0.6391023247339261,-1.1125737256990067,0.0066947484847007,0.00119760082567,1
234,0,1,3,var=HIGH (0.272480 > 0.221845); diff_var=HIGH (0.010739 > 0.001651); diff2_var=HIGH (0.003530 > 0.000618),0.4446756141463414,0.5219962825685008,0.2724801190153342,0.7681382951198449,-0.9183338043663212,0.0107389616023582,0.003529598534184,1
702,0,1,3,var=HIGH (0.265647 > 0.221845); diff_var=HIGH (0.008631 > 0.001651); diff2_var=HIGH (0.001502 > 0.000618),0.3960890583333333,0.5154094293873225,0.2656468799013653,0.945245252483616,-0.6143434735374806,0.0086306964346382,0.0015018559941826,1
708,0,1,3,var=HIGH (0.228348 > 0.221845); diff_var=HIGH (0.006291 > 0.001651); diff2_var=HIGH (0.000668 > 0.000618),0.3916363708333333,0.4778580366223373,0.228348303164555,0.7512992928948307,-1.0532581738940905,0.0062911867522655,0.0006675813185704,1
709,0,1,3,var=HIGH (0.226321 > 0.221845); diff_var=HIGH (0.007637 > 0.001651); diff2_var=HIGH (0.000654 > 0.000618),0.3820132272727273,0.4757323016687467,0.2263212228510434,0.8173726123916272,-0.9138095075313726,0.0076372098246967,0.0006536629120495,1
710,0,1,3,var=HIGH (0.253397 > 0.221845); diff_var=HIGH (0.008078 > 0.001651); diff2_var=HIGH (0.001750 > 0.000618),0.3610474111538462,0.5033852733051352,0.2533967333804856,1.078595681776832,-0.3400390703074749,0.0080777048073614,0.0017500921793822,1
1039,0,1,3,mean=HIGH (0.947614 > 0.913808); diff_var=HIGH (0.003468 > 0.001651); diff2_var=HIGH (0.000792 > 0.000618),0.9476140714285716,0.138336016412659,0.0191368534369234,-0.1038680040594519,-1.3146967052891123,0.0034678823868402,0.0007923253393055,1
1040,0,1,3,mean=HIGH (0.966491 > 0.913808); diff_var=HIGH (0.005094 > 0.001651); diff2_var=HIGH (0.001079 > 0.000618),0.9664915,0.139537706383436,0.0194707715027499,-0.167657370189718,-1.111263743182724,0.005093624340628,0.0010791100427599,1
1046,0,1,3,mean=HIGH (0.960390 > 0.913808); diff_var=HIGH (0.004652 > 0.001651); diff2_var=HIGH (0.001000 > 0.000618),0.96039025,0.1471683671503068,0.0216585282896874,-0.3199158805117579,-1.0921974210118,0.004652070378595,0.0010001989792399,1
1047,0,1,3,mean=HIGH (0.941066 > 0.913808); diff_var=HIGH (0.004245 > 0.001651); diff2_var=HIGH (0.001161 > 0.000618),0.9410657692307692,0.1365413473117794,0.0186435395257159,-0.1599029019734719,-1.061428531919133,0.0042451993613888,0.0011607082324297,1
1050,0,1,3,mean=HIGH (0.971462 > 0.913808); diff_var=HIGH (0.004021 > 0.001651); diff2_var=HIGH (0.000882 > 0.000618),0.9714616666666668,0.1167003445934168,0.0136189704282222,0.0242915854819966,-1.3628537033298391,0.0040214563970909,0.0008816312738099,1
1053,0,1,3,mean=HIGH (0.922677 > 0.913808); diff_var=HIGH (0.003217 > 0.001651); diff2_var=HIGH (0.000686 > 0.000618),0.9226774615384616,0.1253431294509444,0.0157109001005562,-0.2602978296836035,-1.112320446732021,0.0032171156665763,0.000686165583719,1
1054,0,1,3,mean=HIGH (0.953895 > 0.913808); diff_var=HIGH (0.004412 > 0.001651); diff2_var=HIGH (0.000824 > 0.000618),0.9538949090909092,0.1180284648290437,0.0139307185099008,-0.2479774479957626,-1.089618185769936,0.00441200166624,0.0008242418415555,1
1057,1,1,3,mean=HIGH (0.932450 > 0.913808); diff_var=HIGH (0.011016 > 0.001651); diff2_var=HIGH (0.022607 > 0.000618),0.9324502307692306,0.1376354073050378,0.0189435053440236,-0.2751094935546195,-0.758602169817812,0.0110157297148055,0.0226070197899008,1
1058,0,1,3,mean=HIGH (1.088756 > 0.913808); diff_var=HIGH (0.005636 > 0.001651); diff2_var=HIGH (0.003305 > 0.000618),1.0887557272727273,0.1304963212467141,0.0170292898589256,0.026418660192134,-1.007190406887054,0.00563579680656,0.0033047740995802,1
1059,0,1,3,mean=HIGH (1.004588 > 0.913808); diff_var=HIGH (0.005701 > 0.001651); diff2_var=HIGH (0.001646 > 0.000618),1.0045879999999998,0.1090153453846445,0.0118843455293333,-0.1138306055012216,-1.2604740653712243,0.00570080464325,0.0016457609368163,1
1060,0,1,3,mean=HIGH (1.036762 > 0.913808); diff_var=HIGH (0.005140 > 0.001651); diff2_var=HIGH (0.001695 > 0.000618),1.0367624000000002,0.130482270503084,0.0170256229156399,-0.33469227197183,-1.0779406929286586,0.0051398299788395,0.00169464598725,1
