segment,anomaly,predicted_anomaly,lof_score,mean,std,var,skew,kurtosis,diff_var,diff2_var,n_peaks
1163,1,1,-14.823626137885933,0.058783464347826,0.0412887620536583,0.0017047618719236,-0.0404633188625185,-1.676428010653943,0.0004021197422514,0.0007213289377808,1
648,1,1,-8.644996763116986,-2.205278111888112e-05,9.851380622244215e-06,9.704970016432881e-11,4.374560239157033,31.201842346507235,3.585515694721033e-11,7.133825191467117e-11,1
664,0,1,-7.147181274618025,0.07038959,0.0554387779080625,0.0030734580959394,0.1070411332894845,-1.4963336828024765,0.0004504217925652,7.823976702163827e-05,1
1068,1,1,-6.238185800866684,0.9779263,0.2431144036823199,0.05910461327781,-1.42320577198881,1.5923949521833831,0.0998786908990617,0.3033985781066877,1
1598,0,1,-5.501600092192584,0.0878156291666666,0.067789173193718,0.0045953720022878,-0.2715859609008185,-1.5495090344320197,0.0002705554052038,0.0001980048359754,1
1726,1,1,-4.940981160324588,0.3097762523809523,0.410672116785906,0.1686515875054168,0.7938081443067161,-1.1378673647947268,0.0850601132229089,0.2370171499536495,2
641,1,1,-4.909904116769539,-2.5333686930091185e-05,1.1354364583618578e-05,1.2892159509773188e-10,-1.2294571196622253,4.857953184279241,5.144291141983158e-11,1.505520283254357e-10,2
1727,1,1,-4.764084577952554,0.2096417563157894,0.2833886002618492,0.0803090987583701,0.8477825721084358,-1.0596690417199894,0.0751413122050478,0.2456558421232697,2
1043,1,1,-3.9077024636875644,0.9524663076923076,0.193186736671019,0.0373211152255976,-1.0134174028900902,0.8356358588804493,0.035049922363743,0.0810645998258677,1
1719,1,1,-3.2466747051558023,0.3305022972222222,0.3860353880982205,0.1490233208641437,0.8167309088887424,-0.8658019684742184,0.0459774867592625,0.0961598527669834,2
1752,0,1,-3.121591730866217,0.0047092451790633,0.0050035265619487,2.503527805612635e-05,0.4846273813574575,-1.3094623542063522,3.16275135690221e-06,9.47583663169806e-06,47
1748,1,1,-3.0824696123847386,0.0019561374585635,0.0055230396271194,3.0503966722732216e-05,3.371883022056913,11.27666974468313,2.3982927769617725e-06,4.072985470676666e-06,7
22,1,1,-3.033386736301229,-5.040148853641304e-06,1.5151888968130378e-05,2.2957973930255104e-10,-1.5093964027183435,0.5374727443578138,7.517321168711943e-12,1.5725877456716946e-11,6
143,1,1,-3.030902360105201,-3.762492839999999e-06,2.0560365315186575e-05,4.2272862189392705e-10,-0.4343601175481853,0.0211439257265477,9.94107949851559e-12,1.927378860534124e-11,1
1192,1,1,-3.0255937075680075,-2.436841717391304e-06,1.802352480708333e-05,3.248474464715481e-10,0.0148371308138016,-0.7937499091808826,4.817813928108371e-12,3.5959111826264696e-12,1
325,1,1,-3.012095290262658,1.8137951165236684e-05,1.0628627322047069e-05,1.1296771875096542e-10,-1.091506037374902,1.799849000819484,1.1859176407834736e-11,2.3782134058401076e-11,2
1718,1,1,-2.9935316825248717,0.12794355375,0.2067945972135688,0.0427640054367221,1.6056938361496074,1.3284876814436686,0.0406577678415155,0.1076491505162741,3
1724,1,1,-2.8302068251762043,0.121847269,0.2261392407738183,0.0511389562177589,1.8116260026050175,1.813093811922629,0.0413059340519708,0.1072909199724022,3
99,1,1,-2.7986865610256473,-6.080523601123596e-06,1.7276220773587747e-05,2.9846780421774486e-10,0.0054435665612418,-0.3642965800776485,6.760747639954245e-12,1.3071690773946318e-11,1
